Quarter,Campus,Item,Course.ID,Title,CREDIT,TYPE.days,Time,Room,Instructor,Enrolled,divider,classCap,Wait.List,FTES.TOTAL,FTES.STATE,Clustered,Type
Fall 2012,North,6625,AMA 175  02,AP/TERMINOLOGY/PATHGY 6,1,Arr,AR:R M,IB 1318,Mcrichton ,3,/,0,0,0.2,0.2,6620B232,
Fall 2012,North,6626,AMA 176  02,AP/TERMINOLOGY/PATHGY 7,1,Arr,AR:R M,IB 1318,Plarson ,3,/,0,0,0.2,0.2,6626B232,
Fall 2012,North,6627,AMA 177  02,AP/TERMINOLOGY/PATHGY 8,1,Arr,AR:R M,IB 1318,Plarson ,3,/,0,0,0.2,0.2,6626B232,
Fall 2012,North,6628,AMA 178  02,AP/TERMINOLOGY/PATHGY 9,1,Arr,AR:R M,IB 1318,Plarson ,3,/,0,0,0.2,0.2,6626B232,
Fall 2012,North,6629,AMA 179  02,AP/TERMINOLOGY/PATHGY 10,1,Arr,AR:R M,IB 1318,Plarson ,3,/,0,0,0.2,0.2,6626B232,
Fall 2012,North,6630,AMA 180  02,AP/TERMINOLOGY/PATHGY 11,1,Arr,AR:R M,IB 1318,Plarson ,3,/,0,0,0.2,0.2,6626B232,
Fall 2012,North,6631,AMA 181  02,AP/TERMINOLOGY/PATHGY 12,1,Arr,AR:R M,IB 1318,Plarson ,1,/,0,0,0.1,0.1,6626B232,
Fall 2012,North,6632,AMA 226  02,MED INSURANCE CODING 1,1,Arr,AR:R M,IB 1318,Mcrichton ,14,/,0,0,0.9,0.9,,
Fall 2012,North,6633,AMA 227  02,MED INSURANCE BILLING,2,Arr,AR:R M,IB 1318,Mcrichton ,12,/,0,0,1.6,1.6,6633B232,
Fall 2012,North,6634,AMA 230  02,MEDICAL OFFICE MANAGEMEN,1,Arr,AR:R M,IB 1318,Mcrichton ,8,/,0,0,0.5,0.5,6633B232,
Fall 2012,North,6635,AMA 240  02,GYN/PEDIATRICS,1,Arr,AR:R M,IB 1318,Plarson ,8,/,0,0,0.5,0.5,6635B232,
Fall 2012,North,6636,AMA 241  02,MALE REPRODUCTIVE/GERONT,1,Arr,AR:R M,IB 1318,Plarson ,2,/,0,0,0.1,0.1,6635B232,
Fall 2012,North,6637,AMA 242  02,EXAMS BY BODY SYSTEMS,2,Arr,AR:R M,IB 1318,Plarson ,8,/,0,0,1.1,1.1,6637B232,
Fall 2012,North,6638,AMA 243  02,REHABILITATION,1,Arr,AR:R M,IB 1318,Plarson ,6,/,0,0,0.4,0.4,6637B232,
Fall 2012,North,6639,AMA 244  02,INTRO TO IMAGING,1,Arr,AR:R M,IB 1318,Plarson ,6,/,0,0,0.4,0.4,,
Fall 2012,North,6640,AMA 245  02,MINOR SURGERY,2,Arr,AR:R M,IB 1318,Plarson ,4,/,0,0,0.5,0.5,6640B232,
Fall 2012,North,6641,AMA 246  02,PATIENT PRIORITIZING INS,1,Arr,AR:R M,IB 1318,Plarson ,2,/,0,0,0.1,0.1,6640B232,
Fall 2012,North,6642,AMA 250  02,MEDICATION CALC & ADMIN,2,Arr,AR:R M,IB 1318,Sstufflebeam,6,/,0,0,0.8,0.8,6642B232,
Fall 2012,North,6643,AMA 251  02,EKG,1,Arr,AR:R M,IB 1318,Sstufflebeam,5,/,0,0,0.3,0.3,6642B232,
Fall 2012,North,6644,AMA 252  02,PHLEBOTOMY,2,Arr,AR:R M,IB 1318,Sstufflebeam,7,/,0,0,0.9,0.9,6642B232,
Fall 2012,North,6645,AMA 253  02,HEMATOLOGY,1,Arr,AR:R M,IB 1318,Plarson ,7,/,0,0,0.5,0.5,6645B232,
Fall 2012,North,6646,AMA 254  02,URINALYSIS,1,Arr,AR:R M,IB 1318,Plarson ,6,/,0,0,0.4,0.4,6645B232,
Fall 2012,North,6647,AMA 255  02,BASIC MICROBIOLOGY,1,Arr,AR:R M,IB 1318,Plarson ,6,/,0,0,0.4,0.4,6647B232,
Fall 2012,North,6648,AMA 256  02,SPECIALTY LAB TESTS/CHEM,1,Arr,AR:R M,IB 1318,Plarson ,7,/,0,0,0.5,0.5,6647B232,
Fall 2012,North,6650,AHM 101  02,PATHOLOGY 1,1,Arr,AR:R M,IB 1318,Mallen ,5,/,0,0,0.3,0.3,,
Fall 2012,North,6651,AHM 102  02,PATHOLOGY 2,1,Arr,AR:R M,IB 1318,Mallen ,4,/,0,0,0.3,0.3,,
Fall 2012,North,6652,AHM 103  02,PATHOLOGY 3,1,Arr,AR:R M,IB 1318,Mallen ,4,/,0,0,0.3,0.3,,
Fall 2012,North,6653,AHM 104  02,PATHOLOGY 4,1,Arr,AR:R M,IB 1318,Mallen ,4,/,0,0,0.3,0.3,,
Fall 2012,North,6654,AHM 105  02,PATHOLOGY 5,1,Arr,AR:R M,IB 1318,Mallen ,4,/,0,0,0.3,0.3,,
Fall 2012,North,6655,AHM 117  02,INTRO TO LAB & CLIN SAFT,1,Arr,AR:R M,IB 1318,Mallen ,0,/,0,0,0,0,,
Fall 2012,North,6656,AHM 118  02,INTRO TO PATIENT HISTORY,1,Arr,AR:R M,IB 1318,Mallen ,0,/,0,0,0,0,,
Fall 2012,North,6657,AHM 124  02,INTRO TO MEDICAL TRANSCR,1,Arr,AR:R M,IB 1318,Mallen ,3,/,0,0,0.2,0.2,,
Fall 2012,North,6658,AHM 140  02,PHLEBOTOMY 2,1,Arr,AR:R M,IB 1318,Mallen ,0,/,0,0,0,0,,
Fall 2012,North,6659,AHM 141  02,LAB EQUIPMENT/MEASUREMEN,1,Arr,AR:R M,IB 1318,Mallen ,0,/,0,0,0,0,,
Fall 2012,North,6660,AHM 142  02,NON-BLOOD SPECIMEN COLL,1,Arr,AR:R M,IB 1318,Mallen ,0,/,0,0,0,0,,
Fall 2012,North,9334,HDC 100  D1,CAREER PLAN/PERSNL EVALU,2,Online,-,-,Jmao ,25,/,25,0,3.3,3.2,,
Fall 2012,North,9336,AHI 100  D1,INTRO TO MED VOCABULARY,3,Online,-,-,Bgeary ,23,/,0,0,4.6,4.6,,
Fall 2012,North,9338,AHI 100  D2,INTRO TO MED VOCABULARY,3,Online,-,-,Bgeary ,25,/,0,0,5,4.6,,
Fall 2012,North,9340,AHI 100  DP3,INTRO TO MED VOCABULARY,3,Online,-,-,Bgeary ,19,/,0,0,3.8,3.8,,
Fall 2012,North,9344,CCE 200  D1,CHILDREN AND NATURE,3,Online,-,-,Jkarshna ,26,/,25,1,5.2,5.2,,
Fall 2012,North,9350,FAM 180  D1,SPEC. TOPICS FOR PARENTS,5,Online,-,-,Vdonato ,19,/,18,0,6.3,6.3,,
Fall 2012,North,9352,FAM 181  D1,STAR PARENTING,5,Online,-,-,Ecrary ,11,/,18,0,3.7,3.7,,
Fall 2012,North,9370,AMA 102  D2,LEGAL CONCEPTS,1,Online,-,-,Mallen ,12,/,0,0,0.8,0.8,9370B232,
Fall 2012,North,9372,AMA 103  D2,ETHICAL CONCEPTS,1,Online,-,-,Mallen ,12,/,0,0,0.8,0.8,9370B232,
Fall 2012,North,9374,AMA 108  D2,NUTRITION & DEV BASICS,1,Online,-,-,Mallen ,6,/,0,0,0.4,0.4,9374B232,
Fall 2012,North,9376,AMA 109  D2,PHARMACOLOGY,1,Online,-,-,Mallen ,3,/,0,0,0.2,0.2,9374B232,
Fall 2012,North,9378,AMA 115  D2,HIV/AIDS,1,Online,-,-,Mallen ,7,/,0,0,0.5,0.5,9378B232,
Fall 2012,North,9380,AMA 241  D2,MALE REPRODUCTIVE/GERONT,1,Online,-,-,Mallen ,7,/,0,0,0.5,0.5,9378B232,
Fall 2012,North,9382,AMA 246  D2,PATIENT PRIORITIZING INS,1,Online,-,-,Mallen ,10,/,0,0,0.7,0.7,9382B232,
Fall 2012,North,9384,AMA 290  D2,MED ASSISTING EXTERNSHIP,7,Online,-,-,Mallen ,7,/,15,0,3.3,3.3,9382B232,
Fall 2012,North,9388,AMA 170  D1,AP/TERMINOLOGY/PATHGY 1,2,Online,-,-,Mallen ,16,/,0,0,2.1,2.1,9388B232,
Fall 2012,North,9389,AMA 171  D2,AP/TERMINOLOGY/PATHGY 2,1,Online,-,-,Mallen ,15,/,0,0,1,1,9388B232,
Fall 2012,North,9390,AMA 172  D3,AP/TERMINOLOGY/PATHGY 3,1,Online,-,-,Mallen ,15,/,0,0,1,1,9390B232,
Fall 2012,North,9391,AMA 173  D4,AP/TERMINOLOGY/PATHGY 4,1,Online,-,-,Mallen ,15,/,0,0,1,1,9390B232,
Fall 2012,North,9392,AMA 174  D5,AP/TERMINOLOGY/PATHGY 5,1,Online,-,-,Mallen ,14,/,0,0,0.9,0.9,9392B232,
Fall 2012,North,9393,AMA 175  D6,AP/TERMINOLOGY/PATHGY 6,1,Online,-,-,Mallen ,16,/,0,0,1.1,1.1,9392B232,
Fall 2012,North,9394,AMA 176  D7,AP/TERMINOLOGY/PATHGY 7,1,Online,-,-,Mallen ,16,/,0,0,1.1,1.1,9394B232,
Fall 2012,North,9395,AMA 177  D8,AP/TERMINOLOGY/PATHGY 8,1,Online,-,-,Mallen ,21,/,0,0,1.4,1.4,9394B232,
Fall 2012,North,9396,AMA 178  D9,AP/TERMINOLOGY/PATHGY 9,1,Online,-,-,Mallen ,19,/,0,0,1.3,1.3,,
Fall 2012,North,9397,AMA 179  D10,AP/TERMINOLOGY/PATHGY 10,1,Online,-,-,Mallen ,20,/,0,0,1.3,1.3,9397B232,
Fall 2012,North,9398,AMA 180  D11,AP/TERMINOLOGY/PATHGY 11,1,Online,-,-,Mallen ,19,/,0,0,1.3,1.3,9397B232,
Fall 2012,North,9399,AMA 181  D12,AP/TERMINOLOGY/PATHGY 12,1,Online,-,-,Mallen ,17,/,0,0,1.1,1.1,,
Fall 2012,North,9400,ACCT 110  D2,INTRO TO ACCTG/BOOKG I,5,Online,-,-,Egodifay ,21,/,30,0,7,7,,
Fall 2012,North,9405,ACCT 131  D2,QUICKBOOKS,5,Online,-,-,Htian ,26,/,25,0,8.7,8,,
Fall 2012,North,9407,ACCT 120  D1,INTRO TO ACCTG/BOOKG II,5,Online,-,-,Djovanovich ,10,/,25,0,3.3,3,,
Fall 2012,North,9410,ACCT&201  D1,PRIN OF ACCOUNTING I,5,Online,-,-,Lpsomostithi,24,/,25,4,8,7.7,,
Fall 2012,North,9412,ACCT&202  D1,PRIN OF ACCOUNTING II,5,Online,-,-,Rwoods ,24,/,25,0,8,7.7,,
