JOB,BASE SALARY,SRV YEARS ,PROG SYMBOL,PROGRAM,WEEKLY LOAD ,LAB
FTF INTENSIVE ENGLISH,66058.11,17,CIE,INSTITUTE OF ENGLISH ,20,N
FTF LANDSCAPE/ENV HORTICUL,65120,23,LHO,LANDSCAPE AND HORTICULTURE,25,N
FTF LIBRARIANS,58280,17,LIB,LIBRARY RESEARCH ,30,N
FTF LIBRARIANS,54211,1,LIB,LIBRARY RESEARCH ,30,N
FTF LIBRARIANS,54306,2,LIB,LIBRARY RESEARCH ,30,N
FTF LIBRARIANS,55255,3,LIB,LIBRARY RESEARCH ,30,N
FTF LIBRARIANS,56079,3,LIB,LIBRARY RESEARCH ,30,N
FTF LIBRARIANS,57213,11,LIB,LIBRARY RESEARCH ,30,N
FTF LIBRARIANS,57838,5,LIB,LIBRARY RESEARCH ,30,N
FTF LIBRARIANS,58460,9,LIB,LIBRARY RESEARCH ,30,N
FTF LIBRARIANS,61234,3,LIB,LIBRARY RESEARCH ,30,N
FTF LIBRARIANS,62542,21,LIB,LIBRARY RESEARCH ,30,N
FTF LIBRARIANS,62882,23,LIB,LIBRARY RESEARCH ,30,N
FTF LIBRARIANS,66831,22,LIB,LIBRARY RESEARCH ,30,N
FTF LIBRARIANS,67033,27,LIB,LIBRARY RESEARCH ,30,N
FTF LICENSED PRACTICAL NRS,71563,25,NUR,NURSING ,18,N
FTF MARINE TECHNOLOGY ENG,55806,3,MGO,MARINE DECK TECHNOLOGY,25,N
FTF MATHEMATICS,55984,1,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,56079,2,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,56079,2,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,56079,2,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,57609,12,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,57644,4,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,57693,5,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,57743,4,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,57743,5,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,57838,5,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,58206,14,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,58460,7,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,58460,9,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,58841,15,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,59896,22,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,60061,21,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,60881,23,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,61635,17,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,61870,19,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,63822,17,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,64654,34,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,66160,19,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,66725,2,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,68555,22,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,68840,28,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,68908,28,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS,69100,26,MAT,MATHEMATICS ,18,N
FTF MATHEMATICS-OVERALL,55096,1,MAT,MATHEMATICS ,18,N
