Winter 2013,SVI,1507,BTS 090  07,EDUCATIONAL PLANNING,1,TWTh,1:00 PM,SVI0310,"Jarrett, bar",19,/,30,0,1.3,1.1,
Winter 2013,SVI,1513,BTS 090  13,EDUCATIONAL PLANNING,1,TWTh,1:00 PM,SVI0310,"Brooks,gabri",21,/,30,0,1.4,1.3,
Winter 2013,SVI,1503,BTS 090  03,EDUCATIONAL PLANNING,1,TWTh,1:00 PM,SVI0310,"Jarrett, bar",8,/,30,0,0.5,0.5,
Winter 2013,SVI,1506,BTS 090  06,EDUCATIONAL PLANNING,1,TWTh,1:00 PM,SVI0310,"Jarrett, bar",6,/,30,0,0.4,0.4,
Winter 2013,SVI,1509,BTS 090  09,EDUCATIONAL PLANNING,1,TWTh,1:00 PM,SVI0310,"Jarrett, bar",22,/,30,0,1.5,1.5,
Winter 2013,SVI,1512,BTS 090  12,EDUCATIONAL PLANNING,1,TWTh,1:00 PM,SVI0310,"Jarrett, bar",26,/,30,0,1.7,1.7,
Winter 2013,SVI,1515,BTS 090  01,EDUCATIONAL PLANNING,1,TWTh,1:00 PM,SVI0310,cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,1501,BTS 090  01,EDUCATIONAL PLANNING,1,TWTh,1:00 PM,SVI0310,"Jarrett, bar",14,/,30,0,0.9,0.9,
Winter 2013,SVI,1508,BTS 090  08,EDUCATIONAL PLANNING,1,TWTh,1:00 PM,SVI0310,"Jarrett, bar",14,/,30,0,0.9,0.9,
Winter 2013,SVI,1514,BTS 090  01,EDUCATIONAL PLANNING,1,TWTh,8:30 AM,SVI0310,"Brooks,gabri",15,/,30,0,1,1,
Winter 2013,SVI,1552,BTS 090  01,EDUCATIONAL PLANNING,1,TWTh,5:00 PM,SVI0310,"Jarrett, bar",1,/,30,0,0.1,0.1,
Winter 2013,SVI,1505,BTS 090  05,EDUCATIONAL PLANNING,1,TWTh,1:00 PM,SVI0310,"Jarrett, bar",18,/,30,0,1.2,1.2,
Winter 2013,SVI,1510,BTS 090  10,EDUCATIONAL PLANNING,1,TWTh,1:00 PM,SVI0310,"Jarrett, bar",7,/,30,0,0.5,0.5,
Winter 2013,SVI,1511,BTS 090  11,EDUCATIONAL PLANNING,1,TWTh,1:00 PM,SVI0310,"Jarrett, bar",24,/,30,0,1.6,1.6,
Winter 2013,SVI,1720,COR 090  01,FOUNDATIONS FOR SUCCESS,1,Th,9:00 AM,SVI0310,"Brooks,gabri",21,/,30,0,1.4,1.2,
Winter 2013,SVI,1721,COR 090  02,FOUNDATIONS FOR SUCCESS,1,F,9:00 AM,SVI0310,"Brooks,gabri",20,/,30,0,1.3,1.2,
Winter 2013,SVI,3569,COR 090  03,FOUNDATIONS FOR SUCCESS,1,WTh,1:00 PM,SVI0504,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,3559,COR 090  02,FOUNDATIONS FOR SUCCESS,1,W,1:00 PM,SVI0504,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,1120,COR 090  01,FOUNDATIONS FOR SUCCESS,1,Arr,8:30 AM,SVI0000,M richards ,25,/,30,0,1.7,1.7,
Winter 2013,SVI,3459,COR 090  01,FOUNDATIONS FOR SUCCESS,1,W,1:00 PM,SVI0504,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,3549,COR 090  01,FOUNDATIONS FOR SUCCESS,1,Th,1:00 PM,SVI0504,"Bailey, rose",19,/,30,0,1.3,1.3,
Winter 2013,SVI,3579,COR 090  03,FOUNDATIONS FOR SUCCESS,1,WTh,1:00 PM,SVI0504,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,4099,COR 090  04,FOUNDATIONS FOR SUCCESS,1,W,11:00 AM,SVI0504,"Bailey, rose",18,/,30,0,1.2,1.2,
Winter 2013,SVI,5019,COR 090  05,FOUNDATIONS FOR SUCCESS,1,W,5:00 PM,SVI,"Bailey, rose",17,/,30,0,1.1,1.1,
Winter 2013,SVI,3550,COR 100  01,STRAT FOR SUCCESS AOP ST,1,T,2:30 PM,SVI0517,"Lichty, deni",9,/,30,0,0.6,0.6,
Winter 2013,SVI,3560,COR 100  02,STRAT FOR SUCCESS BUS OF,1,T,1:00 PM,SVI0502,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,3570,COR 101  03,STRAT FOR SUCCESS AOP ST,1,T,1:00 PM,SVI0502,"Lichty, deni",10,/,30,0,0.7,0.7,
Winter 2013,SVI,3566,COR 120  02,CUST SVC PROFESSIONALISM,3,TThF,1:00 PM,SVI0502,"Cancel,12/12",0,/,30,0,0,0,
Winter 2013,SVI,3556,COR 120  01,CUST SVC PROFESSIONALISM,3,TWThF,11:00 AM,SVI0517,"Gilman, s ",20,/,30,0,4,4,
Winter 2013,SVI,3576,COR 120  03,CUST SVC PROFESSIONALISM,3,TThF,1:00 PM,SVI0509,"Cancel,12/12",0,/,30,0,0,0,
Winter 2013,SVI,3553,COR 127  01,BUS OFFICE COM & RESEARC,2,TWThF,11:00 AM,SVI0505,Ferguson t ,20,/,30,0,2.7,2.7,
Winter 2013,SVI,3563,COR 127  02,BUS OFFICE COM & RESEARC,2,TWThF,8:00 AM,SVI0509,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,3573,COR 127  03,BUS OFFICE COM & RESEARC,2,TWThF,8:00 AM,SVI0509,Cancel 12/12,0,/,30,0,0,0,
Winter 2013,SVI,3472,COR 131  01,EMPLOYMENT SKILLS,3,TWThF,9:30 AM,SVI0516,"Gilman, s ",5,/,30,0,1,1,
Winter 2013,SVI,4115,COR 131  01,EMPLOYMENT SKILLS,3,WF,1:00 PM,SVI0505,Ferguson t ,11,/,25,0,2.2,2.2,
Winter 2013,SVI,4626,COR 131  03,EMPLOYMENT SKILLS,3,TWThF,11:00 AM,SVI0502,"Cancel,12/12",0,/,30,0,0,0,
Winter 2013,SVI,2803,COS 148  01,INT TO CHEM HAIR DESIGN,12,WTh,9:00 AM,OOC0000,"Lichty, deni",16,/,20,0,13.3,10,
Winter 2013,SVI,2804,COS 149  01,HAIR DESIGN PRACTICUM II,8,TF,9:00 AM,OOC0000,"Lichty, deni",16,/,20,0,8,6,
Winter 2013,SVI,2808,COS 171  01,PRINCIPLES SALON SHOP BS,4,T,11:00 AM,OOC0000,"Danard,amy ",9,/,25,0,2.7,2.4,
Winter 2013,SVI,2809,COS 172  01,EMPLOYMENT SKILLS,3,T,4:00 PM,OOC0000,"Danard,amy ",9,/,25,0,1.8,1.6,
Winter 2013,SVI,2810,COS 173  01,COMP COS PRACTICUM II,6,WF,9:00 AM,OOC0000,"Bacetich, m ",9,/,20,0,3.6,3.2,
Winter 2013,SVI,2811,COS 174  01,COMP HAIR PRACTICUM,6,WThF,11:00 AM,OOC0000,"Bacetich, m ",9,/,20,0,3.9,3.5,
Winter 2013,SVI,2888,COS 180  01,ADV COSMETOLOGY PRAC RVW,16,TWThF,9:00 AM,OOC0000,"Lichty, deni",8,/,20,0,3.9,3.9,
Winter 2013,SVI,2812,COS 181  01,STATE BOARD PRESENTATION,8,F,9:00 AM,OOC0000,"Lonsdale, ju",13,/,20,0,6.5,6.5,
Winter 2013,SVI,2813,COS 182  01,SALON/SHOP SIMULATION,7,TTh,11:00 AM,OOC0000,"Lonsdale, ju",13,/,20,0,6.1,6.1,
Winter 2013,SVI,2814,COS 183  01,SALON/SHOP SIMULATION II,6,TWTh,9:00 AM,OOC0000,"Lonsdale, ju",13,/,20,0,4.8,4.8,
Winter 2013,SVI,1111,ESL 040  01,ESL LEVEL 4,5,TWThF,9:00 AM,SVI0316,M richards ,10,/,25,0,3.3,3.3,
Winter 2013,SVI,1112,ESL 047  01,INTER COMP ASSISTED LANG,5,TWThF,10:15 AM,SVI0306,M richards ,26,/,25,0,8.7,8.7,
Winter 2013,SVI,1113,ESL 050  01,ESL LEVEL 5,5,TWThF,11:30 AM,SVI0316,M richards ,17,/,30,0,5.7,5.3,
Winter 2013,SVI,1715,GED 050  01,BASIC GED PREPARATION 5,5,TWThF,9:00 AM,SVI0310,"Jarrett, bar",36,/,25,0,12,10.3,
